Variable,Type,NumUniqueValues,Variable_Type,Num Unique Values,Non Missing,Missing_N,Missing_P,Above 0,Positive Above 0,Negative Above 0,Above0_P,Positive Above0_P,Negative Above0_P,Mean above 0,Positive Mean above 0,Negative Mean above 0,Precision,Above0_Diff,Percentage Mean Difference above 0,Correlation,Abs_Correlation,p-value,p-value corrected,Diagnostic Odds,Positive Min above 0,Positive P10 above 0,Positive P25 above 0,Positive P50 above 0,Positive P75 above 0,Positive P90 above 0,Positive Max above 0,Negative Min above 0,Negative P10 above 0,Negative P25 above 0,Negative P50 above 0,Negative P75 above 0,Negative P90 above 0,Negative Max above 0
onc_psa5,numerical,236,NA,236,300,4952,0.9428789032749428,300,23,277,0.05712109672505712,0.08333333333333333,0.055667202572347266,70.54802133333334,29.39796956521739,73.96481263537906,0.07666666666666666,0.027666130760986063,0.6317235016356754,0.0837,0.0837,0.14813,0.9514983333333334,NaN,0.1612,0.3536800000000001,2.925,7.05,31.65,79.06000000000002,177.7,1e-4,0.1,0.6805,3.94,16.4,89.09600000000003,5662
onc_psa6,numerical,200,NA,200,248,5004,0.9527798933739527,248,20,228,0.04722010662604722,0.07246376811594203,0.04581993569131833,81.52564919354839,130.93935,77.19111403508772,0.08064516129032258,0.026643832424623703,0.6592800731621243,0.09754,0.09754,0.12553,0.9186513636363637,NaN,0.0382,0.22592,3.225,6.9,37.1,105.25000000000026,2015.3,7e-4,0.1,0.41500000000000004,3.8,16.75,92.92000000000002,5662
onc_psa7,numerical,167,NA,167,203,5049,0.9613480578827114,202,14,188,0.038461538461538464,0.050724637681159424,0.03778135048231511,49.2233702970297,62.21252142857143,48.256093085106386,0.06930693069306931,0.012943287198844314,0.2835325630741546,0.06719,0.06719,0.34084,0.9514983333333334,Inf,0.0164,0.18523,0.7225,7.945,51.55,58.81,627.1,5e-4,0.1,0.36750000000000005,3.31,13.0775,72.56000000000003,1987.9
onc_psa8,numerical,135,NA,135,166,5086,0.9683929931454683,165,12,153,0.031416603198781416,0.043478260869565216,0.0307475884244373,85.18354121212121,57.743024999999996,87.3357385620915,0.07272727272727272,0.012730672445127916,0.3473994288215927,0.04588,0.04588,0.55723,0.9514983333333334,Inf,0.1163,0.22000000000000003,0.4,4.52,30.65,97.13,479.9,0.0017,0.1,0.41,3.7,11.5,66.56000000000003,4771.1
onc_psa9,numerical,102,NA,102,117,5135,0.9777227722772277,117,9,108,0.022277227722772276,0.03260869565217391,0.021704180064308683,33.08870085470085,39.823966666666664,32.527428703703706,0.07692307692307693,0.010904515587865229,0.2205144890699555,0.00997,0.00997,0.91501,0.9887020805369129,NaN,0.0957,0.17914000000000002,0.6,1.6,11.74,117.95999999999988,249.4,0.0015,0.1,0.5,3.6950000000000003,13.6675,54.779999999999994,656.9
onc_psa_date10_index_dd,numerical,80,Date_Difference,80,94,5158,0.9821020563594821,94,6,88,0.0178979436405179,0.021739130434782608,0.017684887459807074,438.6808510638298,333.8333333333333,445.82954545454544,0.06382978723404255,0.004054242974975534,0.2553022586912877,-0.1957,0.1957,0.05872,0.67528,NaN,241,251.5,263.75,276,340,474,589,134,262,314,427,568.75,646.2,714
onc_psa_date11_index_dd,numerical,75,Date_Difference,75,80,5172,0.9847677075399848,80,6,74,0.015232292460015232,0.021739130434782608,0.01487138263665595,474.3625,381.3333333333333,481.9054054054054,0.075,0.006867747798126659,0.21201522479553528,-0.18086,0.18086,0.10839,0.8725395,NaN,268,278,290.5,304.5,394.25,561.5,701,155,289.70000000000005,346.5,467.5,620,678.4000000000001,724
onc_psa_date12_index_dd,numerical,60,Date_Difference,60,64,5188,0.9878141660319878,64,5,59,0.012185833968012186,0.018115942028985508,0.011856913183279742,484.453125,331.6,497.40677966101697,0.078125,0.006259028845705766,0.34225556840203464,-0.32307,0.32307,0.00922,0.24740333333333334,NaN,287,289.4,293,298,337,400.59999999999997,443,176,327,381,485,623.5,693,721
onc_psa_date13_index_dd,numerical,45,Date_Difference,45,50,5202,0.9904798172124905,50,4,46,0.00952018278750952,0.014492753623188406,0.009244372990353697,500.92,382.25,511.2391304347826,0.08,0.005248380632834709,0.25750445267664024,-0.27846,0.27846,0.05022,0.6394176923076924,NaN,310,314.5,321.25,346,407,479,527,197,341,414.75,499.5,623.5,700,729
onc_psa_date14_index_dd,numerical,37,Date_Difference,37,40,5212,0.9923838537699924,40,4,36,0.007616146230007616,0.014492753623188406,0.007234726688102894,517.625,439.75,526.2777777777778,0.1,0.007258026935085512,0.16716305776919166,-0.23106,0.23106,0.15144,0.9514983333333334,NaN,349,362.5,382.75,399.5,456.5,549.2,611,218,372,454.75,513,627.75,686.5,730
onc_psa_date15_index_dd,numerical,32,Date_Difference,32,33,5219,0.9937166793602438,33,4,29,0.006283320639756283,0.014492753623188406,0.005827974276527331,548.8787878787879,496.5,556.1034482758621,0.12121212121212122,0.008664779346661076,0.10859127660263065,-0.17555,0.17555,0.32848,0.9514983333333334,NaN,370,388,415,457,538.5,636.6,702,332,404.8,512,553,639,684.6,726
onc_psa_date16_index_dd,numerical,23,Date_Difference,23,23,5229,0.9956207159177456,23,3,20,0.004379284082254379,0.010869565217391304,0.0040192926045016075,537.4347826086956,470.6666666666667,547.45,0.13043478260869565,0.006850272612889697,0.14287004827009686,-0.23361,0.23361,0.28336,0.9514983333333334,NaN,377,393.8,419,461,517.5,551.4,574,353,421.8,491,551.5,611.5,670.6,710
onc_psa_date17_index_dd,numerical,21,Date_Difference,21,20,5232,0.9961919268849961,20,3,17,0.003808073115003808,0.010869565217391304,0.0034163987138263667,570.25,521.3333333333334,578.8823529411765,0.15,0.007453166503564937,0.10091892960603786,-0.15785,0.15785,0.50628,0.9514983333333334,NaN,397,415.4,443,489,583.5,640.1999999999999,678,374,461.6,469,588,650,696.8,723
onc_psa_date18_index_dd,numerical,14,Date_Difference,14,13,5239,0.9975247524752475,13,2,11,0.0024752475247524753,0.007246376811594203,0.0022106109324758843,555.4615384615385,458.5,573.0909090909091,0.15384615384615385,0.005035765879118319,0.20629854842567769,-0.2849,0.2849,0.34544,0.9514983333333334,NaN,400,411.7,429.25,458.5,487.75,505.3,517,395,461,492,539,701,715,723
onc_psa_date19_index_dd,numerical,8,Date_Difference,8,7,5245,0.9986671744097486,7,2,5,0.0013328255902513328,0.007246376811594203,0.0010048231511254019,518.4285714285714,487.5,530.8,0.2857142857142857,0.0062415536604688016,0.08352163130338927,-0.31623,0.31623,0.48959,0.9514983333333334,NaN,430,441.5,458.75,487.5,516.25,533.5,545,408,453.2,521,546,570,593.4,609
onc_psa_date1_index_dd,numerical,228,Date_Difference,228,1195,4057,0.7724676313785225,792,54,738,0.1507996953541508,0.1956521739130435,0.14831189710610931,76.61489898989899,93.55555555555556,75.37533875338754,0.06818181818181818,0.04734027680693417,0.2372934904549691,-0.04711,0.04711,0.10356,0.8725395,0.7941176470588235,1,1.3000000000000007,7,14,82.25,392.60000000000036,718,1,5,9.25,23,73.75,213.8000000000004,704
onc_psa_date20_index_dd,numerical,7,Date_Difference,7,7,5245,0.9986671744097486,7,2,5,0.0013328255902513328,0.007246376811594203,0.0010048231511254019,543.7142857142857,512,556.4,0.2857142857142857,0.0062415536604688016,0.08166053599579608,-0.15954,0.15954,0.73258,0.9514983333333334,NaN,451,463.20000000000005,481.5,512,542.5,560.8,573,449,487.79999999999995,546,546,600,624.6,641
onc_psa_date21_index_dd,numerical,6,Date_Difference,6,5,5247,0.9990479817212491,5,2,3,9.52018278750952e-4,0.007246376811594203,6.028938906752412e-4,590.4,540,624,0.4,0.006643482920918962,0.14227642276422764,-0.57735,0.57735,0.30807,0.9514983333333334,NaN,479,491.20000000000005,509.5,540,570.5,588.8000000000001,601,574,585,601.5,629,649,661,669
onc_psa_date22_index_dd,numerical,6,Date_Difference,6,5,5247,0.9990479817212491,5,2,3,9.52018278750952e-4,0.007246376811594203,6.028938906752412e-4,616.2,573.5,644.6666666666666,0.4,0.006643482920918962,0.11549280536622301,-0.28868,0.28868,0.63762,0.9514983333333334,NaN,514,525.9,543.75,573.5,603.25,621.1,633,606,610.6,617.5,629,664,685,699
onc_psa_date23_index_dd,numerical,5,Date_Difference,5,4,5248,0.9992383853769993,4,2,2,7.616146230007616e-4,0.007246376811594203,4.0192926045016077e-4,632.75,601.5,664,0.5,0.006844447551144042,0.09877518767285658,-0.44721,0.44721,0.55279,0.9514983333333334,NaN,542,553.9,571.75,601.5,631.25,649.1,661,643,647.2,653.5,664,674.5,680.8,685
