Variable,Type,NumUniqueValues,Variable_Type,Num Unique Values,Non Missing,Missing_N,Missing_P,Above 0,Positive Above 0,Negative Above 0,Above0_P,Positive Above0_P,Negative Above0_P,Mean above 0,Positive Mean above 0,Negative Mean above 0,Precision,Above0_Diff,Percentage Mean Difference above 0,Correlation,Abs_Correlation,p-value,p-value corrected,Diagnostic Odds,Positive Min above 0,Positive P10 above 0,Positive P25 above 0,Positive P50 above 0,Positive P75 above 0,Positive P90 above 0,Positive Max above 0,Negative Min above 0,Negative P10 above 0,Negative P25 above 0,Negative P50 above 0,Negative P75 above 0,Negative P90 above 0,Negative Max above 0
onc_latest_t_t3c,numerical,2,NA,2,5252,0,0,1,0,1,1.904036557501904e-4,0,2.0096463022508038e-4,1,NaN,1,0,2.0096463022508038e-4,NaN,-0.00325,0.00325,0.81384,0.9514983333333334,0,Inf,NA,NA,NA,NA,NA,-Inf,1,1,1,1,1,1,1
onc_latest_t_t4,numerical,2,NA,2,5252,0,0,34,2,32,0.006473724295506474,0.007246376811594203,0.006430868167202572,1,1,1,0.058823529411764705,8.155086443916307e-4,0,0.00227,0.00227,0.86942,0.9522219047619048,1.1277372262773722,1,1,1,1,1,1,1,1,1,1,1,1,1,1
onc_latest_t_t4a,numerical,2,NA,2,5252,0,0,7,0,7,0.0013328255902513328,0,0.0014067524115755627,1,NaN,1,0,0.0014067524115755627,NaN,-0.0086,0.0086,0.53303,0.9514983333333334,0,Inf,NA,NA,NA,NA,NA,-Inf,1,1,1,1,1,1,1
onc_latest_t_t4b,numerical,2,NA,2,5252,0,0,2,0,2,3.808073115003808e-4,0,4.0192926045016077e-4,1,NaN,1,0,4.0192926045016077e-4,NaN,-0.0046,0.0046,0.7391,0.9514983333333334,0,Inf,NA,NA,NA,NA,NA,-Inf,1,1,1,1,1,1,1
onc_latest_t_tis,numerical,2,NA,2,5252,0,0,1,0,1,1.904036557501904e-4,0,2.0096463022508038e-4,1,NaN,1,0,2.0096463022508038e-4,NaN,-0.00325,0.00325,0.81384,0.9514983333333334,0,Inf,NA,NA,NA,NA,NA,-Inf,1,1,1,1,1,1,1
onc_latest_t_tis_dcis,numerical,2,NA,2,5252,0,0,5,0,5,9.52018278750952e-4,0,0.0010048231511254019,1,NaN,1,0,0.0010048231511254019,NaN,-0.00727,0.00727,0.59836,0.9514983333333334,0,Inf,NA,NA,NA,NA,NA,-Inf,1,1,1,1,1,1,1
onc_latest_t_tis_lcis,numerical,2,NA,2,5252,0,0,1,0,1,1.904036557501904e-4,0,2.0096463022508038e-4,1,NaN,1,0,2.0096463022508038e-4,NaN,-0.00325,0.00325,0.81384,0.9514983333333334,0,Inf,NA,NA,NA,NA,NA,-Inf,1,1,1,1,1,1,1
onc_psa1,numerical,860,NA,860,1195,4057,0.7724676313785225,1192,88,1104,0.22696115765422697,0.3188405797101449,0.22186495176848875,205.7011562751678,112.89272727272727,213.09892960144927,0.0738255033557047,0.09697562794165615,0.4871445748932763,0.07998,0.07998,0.00567,0.18257400000000001,Inf,0.0531,0.9447100000000002,4.180000000000001,17.405,85.9125,274.85,2e3,8e-5,0.1,1.0643,9.06,51.24250000000001,280.98000000000013,4e4
onc_psa10,numerical,78,NA,78,94,5158,0.9821020563594821,94,6,88,0.0178979436405179,0.021739130434782608,0.017684887459807074,41.54595106382979,36.022099999999995,41.922577272727274,0.06382978723404255,0.004054242974975534,0.1420229197223572,-0.01765,0.01765,0.86595,0.9522219047619048,NaN,0.0826,0.1413,0.275,4.375,29.737499999999997,103.55,170.2,9e-4,0.1,0.65,4.255000000000001,11.175,64.94999999999999,1079.8
onc_psa11,numerical,75,NA,75,80,5172,0.9847677075399848,80,6,74,0.015232292460015232,0.021739130434782608,0.01487138263665595,33.26748625,34.5961,33.15976081081081,0.075,0.006867747798126659,0.0431754650289873,0.01028,0.01028,0.92791,0.9932016339869281,NaN,0.0766,0.1383,0.8,4.8,38.125,98.85,149.2,7e-4,0.1,0.8,4.035,12.2575,67.54000000000002,760.5
onc_psa12,numerical,60,NA,60,64,5188,0.9878141660319878,64,5,59,0.012185833968012186,0.018115942028985508,0.011856913183279742,31.31771875,31.92242,31.266472881355934,0.078125,0.006259028845705766,0.020944920154634974,0.02994,0.02994,0.81429,0.9514983333333334,NaN,0.0521,0.11126,0.2,6,35.56,84.90399999999997,117.8,0.0059,0.1,0.75,4.2,12.32,32.54000000000002,760.5
onc_psa13,numerical,48,NA,48,50,5202,0.9904798172124905,50,4,46,0.00952018278750952,0.014492753623188406,0.009244372990353697,19.854546,17.342125,20.073017391304347,0.08,0.005248380632834709,0.13754494266977185,0.01022,0.01022,0.94385,0.9932016339869281,NaN,0.0385,0.14695000000000003,0.30962500000000004,13.965,30.997500000000002,37.239000000000004,41.4,0.0278,0.25,1.31825,3.5,13.7,30.135,287.9
onc_psa14,numerical,40,NA,40,40,5212,0.9923838537699924,40,4,36,0.007616146230007616,0.014492753623188406,0.007234726688102894,24.688115,10.16545,26.301744444444445,0.1,0.007258026935085512,0.6536057712160059,-0.05776,0.05776,0.72334,0.9514983333333334,NaN,0.0318,0.06726,0.12044999999999999,6.415,16.46,23.264000000000003,27.8,0.02,0.16,1.5500000000000003,3.58,13.317499999999999,24.025,405.2
onc_psa15,numerical,32,NA,32,33,5219,0.9937166793602438,33,4,29,0.006283320639756283,0.014492753623188406,0.005827974276527331,26.11070606060606,11.86945,28.07501724137931,0.12121212121212122,0.008664779346661076,0.6206483732674352,-0.1024,0.1024,0.57067,0.9514983333333334,NaN,0.0378,0.05646,0.08445000000000001,2.27,14.055,31.36200000000001,42.9,0.02,0.0956,0.917,3.47,10.77,23.339999999999996,407.8
onc_psa16,numerical,24,NA,24,23,5229,0.9956207159177456,23,3,20,0.004379284082254379,0.010869565217391304,0.0040192926045016075,35.522769565217395,23.101566666666663,37.38595,0.13043478260869565,0.006850272612889697,0.40211907765547894,-0.03892,0.03892,0.86003,0.9522219047619048,NaN,0.0347,0.5617599999999999,1.35235,2.67,34.635,53.813999999999986,66.6,0.02,0.09640000000000001,1.45625,6.645,14.479999999999999,49.627000000000415,313.3
onc_psa17,numerical,20,NA,20,20,5232,0.9961919268849961,20,3,17,0.003808073115003808,0.010869565217391304,0.0034163987138263667,83.506065,5.521766666666666,97.268,0.15,0.007453166503564937,1.098677483286194,-0.10932,0.10932,0.64639,0.9514983333333334,NaN,0.0353,0.5942399999999999,1.43265,2.83,8.265,11.525999999999998,13.7,0.02,0.0864,0.4,5.75,23.63,282.9,976.75
onc_psa18,numerical,14,NA,14,13,5239,0.9975247524752475,13,2,11,0.0024752475247524753,0.007246376811594203,0.0022106109324758843,93.88362307692307,9.36355,109.25090909090909,0.15384615384615385,0.005035765879118319,1.063948703908315,-0.22792,0.22792,0.4539,0.9514983333333334,NaN,0.0271,1.8943900000000016,4.6953249999999995,9.36355,14.031774999999998,16.83271,18.7,0.1,0.12,2.6,6.75,33.365,179.7,928.84
