Variable,Type,NumUniqueValues,Variable_Type,Num Unique Values,Non Missing,Missing_N,Missing_P,Above 0,Positive Above 0,Negative Above 0,Precision,Above0_Diff,Above0_P,Positive Above0_P,Negative Above0_P,Mean,Positive Mean,Negative Mean,Percentage Mean Difference,Correlation,Abs_Correlation,p-value,p-value corrected,Diagnostic Odds,Positive Min,Positive P10,Positive P25,Positive P50,Positive P75,Positive P90,Positive Max,Negative Min,Negative P10,Negative P25,Negative P50,Negative P75,Negative P90,Negative Max
c1101f_flag,numerical,2,NA,2,70883,0,0,1830,88,1742,0.048087431693989074,0.0026303258571695118,0.02581719171028314,0.028332260141661302,0.02570193428449179,0.025817191710283145,0.028332260141661302,0.025701934284491787,0.10188272553756653,0.00339,0.00339,0.36607,0.6033034041786743,1.1053236645949027,0,0,0,0,0,0,1,0,0,0,0,0,0,1
c1101f_index_max_dd,numerical,596,Date_Difference,596,1830,69053,0.9741828082897168,1701,79,1622,0.04644326866549089,0.0015032204633123152,0.023997291311033675,0.025434642627173213,0.023931422163860898,226.9792349726776,236.1818181818182,226.51435132032148,0.04259185587025358,6.1e-4,6.1e-4,0.97922,0.9874921203438396,0.6494040279490342,0,9.100000000000014,47.5,139.5,403.75,606.5999999999999,722,0,6.100000000000023,47,171.5,360,558.8000000000002,729
c1101f_index_min_dd,numerical,658,Date_Difference,658,1830,69053,0.9741828082897168,1756,84,1672,0.04783599088838269,0.0023752945877650485,0.024773217837845463,0.02704443013522215,0.024669135547457102,314.06284153005464,317.46590909090907,313.89092996555684,0.011383005732023593,0.00266,0.00266,0.90933,0.9559248046875,0.8791866028708134,0,35.7,99.5,269.5,519,672.3,728,0,27,101,301,509,647,730
c1101f_max_min_dd,numerical,361,Date_Difference,361,1830,69053,0.9741828082897168,635,27,608,0.04251968503937008,2.777422010655922e-4,0.008958424445917922,0.008692852543464262,0.008970594744529855,87.08360655737705,81.2840909090909,87.37657864523536,0.06996136215523265,-0.01309,0.01309,0.57572,0.7734785672342925,0.8255500431406385,0,0,0,0,131.75,326.5,637,0,0,0,0,84,366.9000000000001,721
c11100_claim_cnt,numerical,9,NA,9,70883,0,0,1563,65,1498,0.04158669225847729,0.001174655367906119,0.022050421116487733,0.02092723760463619,0.02210189297254231,0.027580661089400844,0.02607855763039279,0.027649497617185773,0.056958025106827175,-0.00164,0.00164,0.66149,0.8300375068568293,0.9457167267636032,0,0,0,0,0,0,4,0,0,0,0,0,0,20
c11100_flag,numerical,2,NA,2,70883,0,0,1563,65,1498,0.04158669225847729,0.001174655367906119,0.022050421116487733,0.02092723760463619,0.02210189297254231,0.022050421116487733,0.02092723760463619,0.02210189297254231,0.05327133489653834,-0.00164,0.00164,0.66289,0.8304633178209692,0.9457167267636032,0,0,0,0,0,0,1,0,0,0,0,0,0,1
c11100_index_max_dd,numerical,628,Date_Difference,628,1563,69320,0.9779495788835123,1537,65,1472,0.04229017566688354,7.910444084360917e-4,0.02168361948563125,0.02092723760463619,0.02171828201307228,333.4542546385157,380.5692307692308,331.40987983978636,0.14742457247317506,0.04672,0.04672,0.06482,0.19746820905459386,Inf,26,103.19999999999999,193,392,567,652.5999999999999,730,0,43,129,306,528.75,651,730
c11100_index_min_dd,numerical,632,Date_Difference,632,1563,69320,0.9779495788835123,1540,65,1475,0.04220779220779221,8.353072114518634e-4,0.021725942750730077,0.02092723760463619,0.021762544816088053,367.39667306461934,411.55384615384617,365.48064085447265,0.12540452507382926,0.04118,0.04118,0.10361,0.27055693493150684,Inf,26,117.60000000000001,236,433,579,652.5999999999999,730,0,57.400000000000034,165,371.5,565.5,671,730
c11100_max_min_dd,numerical,164,Date_Difference,164,1563,69320,0.9779495788835123,210,9,201,0.04285714285714286,6.799028756865767e-5,0.0029626285569177378,0.0028976175144880875,0.002965607802056745,33.94241842610365,30.984615384615385,34.07076101468625,0.0909229740594277,0.0018600000000000001,0.0018600000000000001,0.94151,0.9668705387205387,1.037046908315565,0,0,0,0,0,54.800000000000004,490,0,0,0,0,0,91.49999999999977,693
c1123f_claim_cnt,numerical,25,NA,25,70883,0,0,1978,96,1882,0.04853387259858443,0.0031403883959784384,0.0279051394551585,0.030907920154539602,0.027767531758561163,0.06760436211785618,0.07823567289117836,0.06711716363958276,0.16446437631069516,0.00389,0.00389,0.30017,0.5346285519657454,1.116702737244961,0,0,0,0,0,0,12,0,0,0,0,0,0,40
c1123f_flag,numerical,2,NA,2,70883,0,0,1978,96,1882,0.04853387259858443,0.0031403883959784384,0.0279051394551585,0.030907920154539602,0.027767531758561163,0.0279051394551585,0.030907920154539602,0.027767531758561163,0.1125379932619513,0.0039,0.0039,0.29876,0.5330838533541342,1.116702737244961,0,0,0,0,0,0,1,0,0,0,0,0,0,1
c1123f_index_max_dd,numerical,533,Date_Difference,533,1978,68905,0.9720948605448415,1525,67,1458,0.043934426229508196,5.943034219041757e-5,0.02151432642523595,0.021571152607855762,0.021511722265665344,157.680485338726,162.95833333333334,157.41126461211476,0.035179170772480055,-0.01333,0.01333,0.55342,0.7573725695483099,0.6718698264036707,0,0,0,60.5,244.5,543,725,0,0,2,56,254,514.4000000000005,729
c1123f_index_min_dd,numerical,627,Date_Difference,627,1978,68905,0.9720948605448415,1695,77,1618,0.04542772861356932,9.183225307804362e-4,0.023912644780836025,0.024790727623953637,0.0238724050931732,248.72295247724975,275.5833333333333,247.3528161530287,0.11350185778647354,0.01698,0.01698,0.45035,0.6793113254203759,0.6612452020037732,0,0,17.75,253.5,463.25,659.5,728,0,0,22,180.5,433.75,641,730
c1123f_max_min_dd,numerical,412,Date_Difference,412,1978,68905,0.9720948605448415,896,39,857,0.04352678571428571,8.80648320572431e-5,0.012640548509515681,0.012556342562781713,0.012644407394838957,91.04246713852376,112.625,89.94155154091392,0.24915239197738956,-2.2e-4,2.2e-4,0.99225,0.9948594674556213,0.8183381440766443,0,0,0,0,209.75,404.5,715,0,0,0,0,91.75,376.8000000000002,724
c1126f_claim_cnt,numerical,16,NA,16,70883,0,0,1276,60,1216,0.047021943573667714,0.0013762606075275428,0.01800149542203349,0.019317450096587252,0.01794118948905971,0.034705077381036356,0.03219575016097875,0.03482007170574088,0.07561779839730653,0.00207,0.00207,0.58224,0.7779637850467289,1.0782205740055983,0,0,0,0,0,0,11,0,0,0,0,0,0,21
c1126f_flag,numerical,2,NA,2,70883,0,0,1276,60,1216,0.047021943573667714,0.0013762606075275428,0.01800149542203349,0.019317450096587252,0.01794118948905971,0.01800149542203349,0.019317450096587252,0.01794118948905971,0.0764525710371276,0.00212,0.00212,0.57269,0.7724223909198114,1.0782205740055983,0,0,0,0,0,0,1,0,0,0,0,0,0,1
c1126f_index_max_dd,numerical,491,Date_Difference,491,1276,69607,0.9819985045779666,1111,50,1061,0.045004500450045004,4.435970805779024e-4,0.015673715841598126,0.016097875080489377,0.015654277999911474,203.21943573667713,175.38333333333333,204.59292763157896,0.14373425549756053,-0.0391,0.0391,0.16271,0.3629322157434402,0.7304429783223374,0,0,19,93.5,250.75,562.6,657,0,0,33,143.5,335.25,527.5,730
c1126f_index_min_dd,numerical,573,Date_Difference,573,1276,69607,0.9819985045779666,1174,54,1120,0.04599659284497445,8.609252943735275e-4,0.016562504408673448,0.017385705086928525,0.016524779792554997,310.6496865203762,237.28333333333333,314.26973684210526,0.2478238570626152,-0.07253,0.07253,0.00954,0.046088173178458286,0.7714285714285715,0,3.6000000000000014,33.75,164,434.75,585.4000000000001,728,0,11,99,294.5,509.25,646,730
c1126f_max_min_dd,numerical,335,Date_Difference,335,1276,69607,0.9819985045779666,479,17,462,0.03549060542797495,0.0013431941370625478,0.00675761466077903,0.005473277527366388,0.006816471664428936,107.43025078369907,61.9,109.67680921052632,0.4447239847435573,-0.04892,0.04892,0.0807,0.22804354539839403,0.6452229940602034,0,0,0,0,52.25,230.3000000000001,510,0,0,0,0,169.5,407.5,727
c1159f_claim_cnt,numerical,28,NA,28,70883,0,0,2272,85,2187,0.037411971830985914,0.004901195761666078,0.03205281943484333,0.027366387636831937,0.032267583398498015,0.0846606379526826,0.06084996780424984,0.08575180370922289,0.2941371162226637,-0.00575,0.00575,0.12595,0.3105924878836833,0.8438340547731191,0,0,0,0,0,0,11,0,0,0,0,0,0,42
c1159f_flag,numerical,2,NA,2,70883,0,0,2272,85,2187,0.037411971830985914,0.004901195761666078,0.03205281943484333,0.027366387636831937,0.032267583398498015,0.03205281943484333,0.027366387636831937,0.032267583398498015,0.1529099732280707,-0.0057,0.0057,0.12942,0.315789557805008,0.8438340547731191,0,0,0,0,0,0,1,0,0,0,0,0,0,1
c1159f_index_max_dd,numerical,599,Date_Difference,599,2272,68611,0.9679471805651567,1964,77,1887,0.03920570264765784,0.003050575472967148,0.02770763088469732,0.024790727623953637,0.027841303096920785,181.6892605633803,212.58823529411765,180.4883401920439,0.176674697241536,0.03314,0.03314,0.1143,0.2906994163424124,1.5302066772655007,0,4.800000000000001,35,161,342,557,714,0,0,21,113,286,485.60000000000036,730
c1159f_index_min_dd,numerical,682,Date_Difference,682,2272,68611,0.9679471805651567,2123,81,2042,0.038153556288271315,0.004049656955676231,0.029950763934935034,0.02607855763039279,0.03012821458606902,337.60651408450707,347.9647058823529,337.2039323273891,0.03187371423843514,0.00882,0.00882,0.67445,0.839849959172564,1.4379285014691479,0,25.800000000000004,126,364,563,662.6000000000001,728,0,19.600000000000023,114,329,556,668.4000000000001,730
c1159f_max_min_dd,numerical,527,Date_Difference,527,2272,68611,0.9679471805651567,1041,36,1005,0.0345821325648415,0.003237568952331375,0.014686172989292213,0.01159047005795235,0.014828039010283725,155.91725352112675,135.3764705882353,156.71559213534522,0.13686183578277614,-0.01663,0.01663,0.42824,0.6635221808330511,0.8640877246420957,0,0,0,0,210,469.2,726,0,0,0,0,317,539.8000000000002,730
c1160f_claim_cnt,numerical,25,NA,25,70883,0,0,2147,83,2064,0.03865859338612017,0.003730335841238986,0.030289350055725632,0.026722472633612365,0.03045280847485135,0.08048474246293187,0.061171925305859624,0.08136978621066143,0.25095266862665494,-0.00451,0.00451,0.22976,0.4499794520547945,0.8741411132224008,0,0,0,0,0,0,11,0,0,0,0,0,0,37
c1160f_flag,numerical,2,NA,2,70883,0,0,2147,83,2064,0.03865859338612017,0.003730335841238986,0.030289350055725632,0.026722472633612365,0.03045280847485135,0.030289350055725632,0.026722472633612365,0.03045280847485135,0.12315668161832466,-0.00446,0.00446,0.23555,0.4575971337579618,0.8741411132224008,0,0,0,0,0,0,1,0,0,0,0,0,0,1
c1160f_index_max_dd,numerical,579,Date_Difference,579,2147,68736,0.9697106499442744,1862,76,1786,0.04081632653061224,0.0018823519397126003,0.026268639871337273,0.02446877012234385,0.02635112206205645,182.22356776897996,219.710843373494,180.71608527131784,0.21399404357845228,0.04156,0.04156,0.05419,0.1726775766016713,1.6899696048632218,0,7.000000000000005,45,163,343.5,561.4,728,0,0,22,114.5,284.25,483,730
c1160f_index_min_dd,numerical,676,Date_Difference,676,2147,68736,0.9697106499442744,2006,80,1926,0.03988035892323031,0.002660119407342825,0.028300156596080865,0.025756600128783,0.028416719536125824,339.45645086166746,360.5542168674699,338.60804263565893,0.0646509270220182,0.01809,0.01809,0.40204,0.6413292087835483,1.9106957424714435,0,36.60000000000001,134,380,566.5,663.8,728,0,20.30000000000001,119,329,556,674.7,730
c1160f_max_min_dd,numerical,525,Date_Difference,525,2147,68736,0.9697106499442744,1001,35,966,0.03496503496503497,0.002984110014736122,0.014121862787974549,0.011268512556342562,0.014252622571078684,157.23288309268747,140.84337349397592,157.8919573643411,0.10842887018941948,-0.01712,0.01712,0.42775,0.6631502033209082,0.828804347826087,0,0,0,0,243,464.39999999999986,726,0,0,0,0,316,542.4000000000001,730
c1170f_claim_cnt,numerical,19,NA,19,70883,0,0,1815,72,1743,0.03966942148760331,0.0025357484362590124,0.02560557538478902,0.0231809401159047,0.025716688552163712,0.04727508711538733,0.03477141017385705,0.04784809006004987,0.276608266300509,-0.00333,0.00333,0.37479,0.613036914551305,0.899056816776476,0,0,0,0,0,0,5,0,0,0,0,0,0,44
c1170f_flag,numerical,2,NA,2,70883,0,0,1815,72,1743,0.03966942148760331,0.0025357484362590124,0.02560557538478902,0.0231809401159047,0.025716688552163712,0.02560557538478902,0.0231809401159047,0.025716688552163712,0.09903110545859371,-0.00329,0.00329,0.38165,0.6209277204836415,0.899056816776476,0,0,0,0,0,0,1,0,0,0,0,0,0,1
