Column,Type,NumUniqueValues
c82040_index_min_dd,numerical,499
c82040_max_min_dd,numerical,235
c82043_claim_cnt,numerical,14
c82043_flag,numerical,2
c82043_index_max_dd,numerical,700
c82043_index_min_dd,numerical,725
c82043_max_min_dd,numerical,578
c82150_claim_cnt,numerical,11
c82150_flag,numerical,2
c82150_index_max_dd,numerical,511
c82150_index_min_dd,numerical,529
c82150_max_min_dd,numerical,148
c82247_claim_cnt,numerical,19
c82247_flag,numerical,2
c82247_index_max_dd,numerical,385
c82247_index_min_dd,numerical,447
c82247_max_min_dd,numerical,206
c82248_claim_cnt,numerical,16
c82248_flag,numerical,2
c82248_index_max_dd,numerical,511
c82248_index_min_dd,numerical,569
c82248_max_min_dd,numerical,277
c82270_claim_cnt,numerical,6
c82270_flag,numerical,2
c82270_index_max_dd,numerical,599
c82270_index_min_dd,numerical,616
c82270_max_min_dd,numerical,141
c82274_claim_cnt,numerical,6
c82274_flag,numerical,2
c82274_index_max_dd,numerical,557
c82274_index_min_dd,numerical,593
c82274_max_min_dd,numerical,146
c82306_claim_cnt,numerical,15
c82306_flag,numerical,2
c82306_index_max_dd,numerical,719
c82306_index_min_dd,numerical,730
c82306_max_min_dd,numerical,637
c82310_claim_cnt,numerical,26
c82310_flag,numerical,2
c82310_index_max_dd,numerical,489
c82310_index_min_dd,numerical,561
c82310_max_min_dd,numerical,287
c82550_claim_cnt,numerical,16
c82550_flag,numerical,2
c82550_index_max_dd,numerical,710
c82550_index_min_dd,numerical,729
c82550_max_min_dd,numerical,520
c82553_claim_cnt,numerical,13
c82553_flag,numerical,2
c82553_index_max_dd,numerical,623
c82553_index_min_dd,numerical,650
c82553_max_min_dd,numerical,244
c82565_claim_cnt,numerical,27
c82565_flag,numerical,2
c82565_index_max_dd,numerical,722
c82565_index_min_dd,numerical,732
c82565_max_min_dd,numerical,632
c82570_claim_cnt,numerical,25
c82570_flag,numerical,2
c82570_index_max_dd,numerical,723
c82570_index_min_dd,numerical,730
c82570_max_min_dd,numerical,682
c82607_claim_cnt,numerical,12
c82607_flag,numerical,2
c82607_index_max_dd,numerical,712
c82607_index_min_dd,numerical,728
c82607_max_min_dd,numerical,531
c82728_claim_cnt,numerical,23
c82728_flag,numerical,2
c82728_index_max_dd,numerical,671
c82728_index_min_dd,numerical,712
c82728_max_min_dd,numerical,524
c82746_claim_cnt,numerical,11
c82746_flag,numerical,2
c82746_index_max_dd,numerical,654
c82746_index_min_dd,numerical,694
c82746_max_min_dd,numerical,378
c82947_claim_cnt,numerical,27
c82947_flag,numerical,2
c82947_index_max_dd,numerical,683
c82947_index_min_dd,numerical,713
c82947_max_min_dd,numerical,476
c82948_claim_cnt,numerical,21
c82948_flag,numerical,2
c82948_index_max_dd,numerical,506
c82948_index_min_dd,numerical,567
c82948_max_min_dd,numerical,282
c82962_claim_cnt,numerical,35
c82962_flag,numerical,2
c82962_index_max_dd,numerical,671
c82962_index_min_dd,numerical,707
c82962_max_min_dd,numerical,551
c82977_claim_cnt,numerical,19
c82977_flag,numerical,2
c82977_index_max_dd,numerical,450
c82977_index_min_dd,numerical,516
c82977_max_min_dd,numerical,240
c83036_claim_cnt,numerical,20
c83036_flag,numerical,2
c83036_index_max_dd,numerical,731
c83036_index_min_dd,numerical,732
c83036_max_min_dd,numerical,722
c83540_claim_cnt,numerical,30
c83540_flag,numerical,2
c83540_index_max_dd,numerical,670
c83540_index_min_dd,numerical,715
c83540_max_min_dd,numerical,537
c83550_claim_cnt,numerical,26
c83550_flag,numerical,2
c83550_index_max_dd,numerical,633
c83550_index_min_dd,numerical,687
c83550_max_min_dd,numerical,456
c83605_claim_cnt,numerical,9
c83605_flag,numerical,2
c83605_index_max_dd,numerical,503
c83605_index_min_dd,numerical,519
c83605_max_min_dd,numerical,160
c83615_claim_cnt,numerical,24
c83615_flag,numerical,2
c83615_index_max_dd,numerical,571
c83615_index_min_dd,numerical,672
c83615_max_min_dd,numerical,521
c83690_claim_cnt,numerical,15
c83690_flag,numerical,2
c83690_index_max_dd,numerical,664
c83690_index_min_dd,numerical,693
c83690_max_min_dd,numerical,322
c83721_claim_cnt,numerical,10
c83721_flag,numerical,2
c83721_index_max_dd,numerical,563
c83721_index_min_dd,numerical,592
c83721_max_min_dd,numerical,297
c83735_claim_cnt,numerical,33
c83735_flag,numerical,2
c83735_index_max_dd,numerical,709
c83735_index_min_dd,numerical,730
c83735_max_min_dd,numerical,602
c83880_claim_cnt,numerical,19
c83880_flag,numerical,2
c83880_index_max_dd,numerical,668
c83880_index_min_dd,numerical,701
c83880_max_min_dd,numerical,429
c83970_claim_cnt,numerical,23
c83970_flag,numerical,2
c83970_index_max_dd,numerical,514
c83970_index_min_dd,numerical,583
c83970_max_min_dd,numerical,357
c84075_claim_cnt,numerical,25
c84075_flag,numerical,2
c84075_index_max_dd,numerical,467
c84075_index_min_dd,numerical,555
c84075_max_min_dd,numerical,276
c84100_claim_cnt,numerical,31
c84100_flag,numerical,2
c84100_index_max_dd,numerical,643
c84100_index_min_dd,numerical,697
c84100_max_min_dd,numerical,481
c84132_claim_cnt,numerical,26
c84132_flag,numerical,2
c84132_index_max_dd,numerical,577
c84132_index_min_dd,numerical,617
c84132_max_min_dd,numerical,283
c84153_claim_cnt,numerical,32
c84153_flag,numerical,2
c84153_index_max_dd,numerical,730
c84153_index_min_dd,numerical,732
c84153_max_min_dd,numerical,732
c84154_claim_cnt,numerical,16
c84154_flag,numerical,2
c84154_index_max_dd,numerical,661
c84154_index_min_dd,numerical,702
c84154_max_min_dd,numerical,436
c84165_claim_cnt,numerical,6
c84165_flag,numerical,2
c84165_index_max_dd,numerical,386
c84165_index_min_dd,numerical,402
c84165_max_min_dd,numerical,56
c84270_claim_cnt,numerical,18
c84270_flag,numerical,2
c84270_index_max_dd,numerical,419
c84270_index_min_dd,numerical,497
c84270_max_min_dd,numerical,252
c84402_claim_cnt,numerical,12
c84402_flag,numerical,2
c84402_index_max_dd,numerical,467
c84402_index_min_dd,numerical,504
c84402_max_min_dd,numerical,184
c84403_claim_cnt,numerical,24
c84403_flag,numerical,2
c84403_index_max_dd,numerical,705
c84403_index_min_dd,numerical,731
c84403_max_min_dd,numerical,682
c84436_claim_cnt,numerical,10
c84436_flag,numerical,2
c84436_index_max_dd,numerical,562
c84436_index_min_dd,numerical,594
c84436_max_min_dd,numerical,258
c84439_claim_cnt,numerical,15
c84439_flag,numerical,2
c84439_index_max_dd,numerical,702
c84439_index_min_dd,numerical,714
c84439_max_min_dd,numerical,519
c84443_claim_cnt,numerical,19
